,LShoulderPitch,LShoulderRoll,RShoulderPitch,RShoulderRoll,LElbowYaw,LElbowRoll,RElbowYaw,RElbowRoll
71,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
72,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
73,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
74,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
75,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
76,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
77,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
78,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
79,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
80,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
81,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
82,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
83,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
84,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
85,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
86,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
87,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
88,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
89,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
90,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
91,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
92,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
93,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
94,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
95,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
96,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
97,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
98,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
99,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
100,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
101,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
102,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
103,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
104,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
105,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
106,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
107,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
108,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
109,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
110,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
111,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
112,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
113,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
114,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
115,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
116,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
117,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
118,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
119,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
120,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
121,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
122,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
123,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
124,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
125,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
126,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
127,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
128,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
129,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
130,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
131,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
132,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
133,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
134,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
135,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
136,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
137,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
138,-0.6477319833993913,0.0087,-2.0857,-1.0451603141486645,-2.0857,-1.562,-1.1891836475431918,0.0087
