,LShoulder_Pitch,LShoulder_Roll,RShoulder_Pitch,RShoulder_Roll,LElbow_Yaw,LElbow_Roll,RElbow_Yaw,RElbow_Roll
12,1.3036979234150379,0.0502412602951301,1.3196739168121268,-0.27906124345513383,-1.3129985531498387,-0.3856695355591828,1.1590080875465567,0.48445506492776547
13,1.3065004989084794,0.050364167323995845,1.319394429816486,-0.2793381453419066,-1.3205080457495486,-0.3951106951786052,1.177936098008857,0.48481451697297606
14,1.3081170597996312,0.05081003984307797,1.3190168485184344,-0.27742768607400436,-1.3243182943069598,-0.39493117778826736,1.1848441846073667,0.4823920949589322
15,1.3116448526858642,0.05266168679638139,1.3187925642130351,-0.27656668081964386,-1.3333696057338673,-0.39658078716090905,1.1940604222806244,0.48061004035411825
16,1.3138287725517164,0.05261290397410101,1.3192630805284136,-0.27739563633731823,-1.3345963702755452,-0.3918975562985594,1.193253977291453,0.4797399161760123
17,1.3149192485295274,0.052358001257789555,1.319153888867019,-0.27534378439251195,-1.3359267095067209,-0.3904839513473002,1.196629553710754,0.47846976024522814
18,1.3147434684197565,0.05212992277467632,1.3191858188171488,-0.2736170633881969,-1.3380285270905814,-0.38979200358651767,1.2016929563769259,0.4790580789230816
19,1.3072155061425685,0.04860912921777727,1.3138192248159668,-0.2763887675703891,-1.3334486189000287,-0.3814598579344959,1.2014365017987938,0.4735389108584962
20,1.304401008663937,0.04699402189731372,1.310412770428026,-0.27760375135464166,-1.3391346317426334,-0.38176100544516256,1.207510195428549,0.47688040026130807
21,1.3065536566162712,0.047259837371853575,1.3112747730444898,-0.2768878070141092,-1.3504845560941425,-0.38305979539377155,1.2070152277319974,0.48050493578457454
22,1.3090191260533417,0.046776608794400154,1.3135295485808147,-0.27724766545542057,-1.3629714956252024,-0.376913417276151,1.2095737419086112,0.48189121915034727
23,1.3110786869029072,0.04651553714742507,1.3145226935093546,-0.2768831993597589,-1.3744748213070304,-0.37614918450918555,1.2130555271247316,0.48381403300694803
24,1.313198612214738,0.04592901187197396,1.315103658265458,-0.2774671302296534,-1.3850010753660729,-0.3725158789816092,1.2075701053636776,0.48441421754050884
25,1.3136631812740533,0.04415350895205705,1.3112764230019123,-0.27970095889343094,-1.3966919680574426,-0.3685163823425519,1.1886598736821892,0.4823403018056065
26,1.3142648677246342,0.042546885693482306,1.3094836127356348,-0.2799666375211165,-1.4085612269022842,-0.3704578431222303,1.161789895342829,0.4915993757816395
27,1.314422508356567,0.04311611602729082,1.3082217536363085,-0.28014740921294456,-1.4125207509049873,-0.3705070575144722,1.1511375698475836,0.4947116072619733
28,1.3121052926458112,0.04309795893445334,1.3056482193297887,-0.2806478820353624,-1.417705437085143,-0.37036014285209395,1.128257881172182,0.49963492218369865
29,1.3134299832364442,0.04446120805778664,1.3034602134478348,-0.28146282292188585,-1.4240225141878298,-0.3681954080097407,1.1059094542091894,0.5030010471312516
30,1.3159711603983126,0.0464055501058418,1.305645418012267,-0.2805164411189498,-1.4299624533548039,-0.3696955737103824,1.0898370100470811,0.5132308162999157
31,1.318421560906834,0.048782454896751926,1.3062411676079257,-0.2806734059527165,-1.4268293644230794,-0.3751968359174276,1.0628817349044235,0.5291392636162677
32,1.3209690975241608,0.051759738082309825,1.299865270118166,-0.28044063003385533,-1.4204366843525067,-0.3765912149087498,1.0931458116557353,0.571040513308847
33,1.3232637871657162,0.05416293322657317,1.2982767669744324,-0.28027520607568057,-1.4150378068523373,-0.3790873019584171,1.0766934914916497,0.5793651563349522
34,1.3248463293404598,0.05554943551226832,1.297850605164033,-0.2802969686903616,-1.4109288163718867,-0.3817386677058745,1.0605037928114958,0.5863555586122029
35,1.3281202823850782,0.05746551713673753,1.298172027177285,-0.28082689583764653,-1.4075082197321125,-0.3792640820509958,1.0440550166091498,0.5927738199240684
36,1.3284875497776252,0.05848741886459119,1.2961006055882531,-0.2811151643415979,-1.4054972253616829,-0.3800085337492405,1.0296697097696026,0.6035404266327742
37,1.3339565188447877,0.0600055923028453,1.2964320555618505,-0.27953989154669423,-1.402354890541027,-0.38432444571186375,1.0230840953891935,0.6076130051868325
38,1.3342542410454992,0.06104760950999477,1.2940309143916886,-0.2764015571653433,-1.4005686024429873,-0.3849331309580597,1.0233925859953823,0.6101842910969948
39,1.3343602761260749,0.06149419296575376,1.293312595805407,-0.2756560574696041,-1.3979906434443208,-0.38568311216064544,1.0192672725893628,0.610814091424571
40,1.3356365368298775,0.061992003674267604,1.2941330789327243,-0.27396354471791606,-1.392603172161432,-0.3892954775954669,1.0183928888238045,0.6086903775219232
